oshwaUid,country,projectName,responsibleParty,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
US000047,United States of America,SparkFun SOIC to DIP Adapter - 8-Pin,SparkFun Electronics,Electronics,Other,MIT,CC BY-SA,2016-10-31T00:00-04:00,5,2,47,https://certification.oshwa.org/us000047.html
US000943,United States of America,SparkFun Soil Moisture Sensor,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,28,16,44,https://certification.oshwa.org/us000943.html
US000867,United States of America,SparkFun Soil Moisture Sensor,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-16T00:00-05:00,28,16,44,https://certification.oshwa.org/us000867.html
US000999,United States of America,SparkFun Solder-able Breadboard - Mini,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,11,3,48,https://certification.oshwa.org/us000999.html
US000863,United States of America,SparkFun Sound Detector,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-16T00:00-05:00,31,11,55,https://certification.oshwa.org/us000863.html
US001001,United States of America,SparkFun Sound Detector,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,31,11,55,https://certification.oshwa.org/us001001.html
US000012,United States of America,SparkFun Sound Detector,SparkFun Electronics,Electronics,Other,Other,CC BY-SA,2016-10-31T00:00-04:00,31,11,55,https://certification.oshwa.org/us000012.html
US000004,United States of America,SparkFun SparkPunk Sequencer Kit,SparkFun Electronics,Sound,Other,MIT,CC BY-SA,2016-10-31T00:00-04:00,9,4,49,https://certification.oshwa.org/us000004.html
US000016,United States of America,SparkFun SparkPunk Sound Kit,SparkFun Electronics,Sound,Other,Other,CC BY-SA,2016-10-31T00:00-04:00,13,7,47,https://certification.oshwa.org/us000016.html
US000990,United States of America,SparkFun SparkPunk Sound Kit,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,13,7,47,https://certification.oshwa.org/us000990.html
US000854,United States of America,SparkFun Spectral Sensor Breakout - AS7262 Visible (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-14T00:00-05:00,27,12,29,https://certification.oshwa.org/us000854.html
US000855,United States of America,SparkFun Spectral Sensor Breakout - AS7263 NIR (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-16T00:00-05:00,27,12,29,https://certification.oshwa.org/us000855.html
US000960,United States of America,SparkFun Spectrum Shield,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,23,7,24,https://certification.oshwa.org/us000960.html
US000892,United States of America,SparkFun SSOP to DIP Adapter - 16-Pin,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,5,3,49,https://certification.oshwa.org/us000892.html
US000974,United States of America,SparkFun Sunny Buddy - MPPT Solar Charger,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,34,22,57,https://certification.oshwa.org/us000974.html
US000882,United States of America,SparkFun TeensyView,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,2,3,32,https://certification.oshwa.org/us000882.html
US002327,United States of America,SparkFun Temperature Sensor - STTS22H (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-25T00:00-04:00,0,0,5,https://certification.oshwa.org/us002327.html
US000780,United States of America,SparkFun TFT LCD Breakout - 1.8' (128x160),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-07T00:00-05:00,1,1,3,https://certification.oshwa.org/us000780.html
US000880,United States of America,SparkFun THAT 1206 InGenius Breakout,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,1,1,29,https://certification.oshwa.org/us000880.html
US000881,United States of America,SparkFun THAT 1646 OutSmarts Breakout,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,4,2,30,https://certification.oshwa.org/us000881.html
US000930,United States of America,SparkFun Thermocouple Breakout - MAX31855K,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-18T00:00-05:00,4,5,37,https://certification.oshwa.org/us000930.html
US000753,United States of America,SparkFun Thing Plus - Artemis,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-04T00:00-05:00,4,0,14,https://certification.oshwa.org/us000753.html
US002300,United States of America,SparkFun Thing Plus - DA16200,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-23T00:00-04:00,2,2,4,https://certification.oshwa.org/us002300.html
US002182,United States of America,SparkFun Thing Plus - ESP32 WROOM (U.FL),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-19T00:00-04:00,3,0,4,https://certification.oshwa.org/us002182.html
US002298,United States of America,SparkFun Thing Plus - ESP32 WROOM (USB-C),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-23T00:00-04:00,10,9,6,https://certification.oshwa.org/us002298.html
US002204,United States of America,SparkFun Thing Plus - ESP32-S2 WROOM,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-19T00:00-04:00,5,1,4,https://certification.oshwa.org/us002204.html
US002341,United States of America,SparkFun Thing Plus - NINA-B306,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-06-06T00:00-04:00,1,1,5,https://certification.oshwa.org/us002341.html
US002212,United States of America,SparkFun Thing Plus - nRF9160,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-19T00:00-04:00,9,3,5,https://certification.oshwa.org/us002212.html
US002188,United States of America,SparkFun Thing Plus - RP2040,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-19T00:00-04:00,9,1,5,https://certification.oshwa.org/us002188.html
US000775,United States of America,SparkFun Thing Plus - SAMD51,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-05T00:00-05:00,16,3,15,https://certification.oshwa.org/us000775.html
US002213,United States of America,SparkFun Thing Plus - STM32,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-19T00:00-04:00,8,2,7,https://certification.oshwa.org/us002213.html
US000760,United States of America,SparkFun Thing Plus - XBee3 Micro (Chip Antenna),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-04T00:00-05:00,1,4,15,https://certification.oshwa.org/us000760.html
US000759,United States of America,SparkFun Thing Plus - XBee3 Micro (U.FL),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-04T00:00-05:00,1,4,15,https://certification.oshwa.org/us000759.html
US002287,United States of America,SparkFun Thing Plus Dual-Port Logging Shield,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-22T00:00-04:00,2,0,5,https://certification.oshwa.org/us002287.html
US002335,United States of America,SparkFun Thing Plus Matter - MGM240P,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-25T00:00-04:00,4,0,5,https://certification.oshwa.org/us002335.html
US000964,United States of America,SparkFun ToF Range Finder Breakout - VL6180,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,5,4,45,https://certification.oshwa.org/us000964.html
US000965,United States of America,SparkFun ToF Range Finder Sensor - VL6180,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,17,16,49,https://certification.oshwa.org/us000965.html
US000722,United States of America,SparkFun Top pHAT for Raspberry Pi,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-11-30T00:00-05:00,1,1,5,https://certification.oshwa.org/us000722.html
US001037,United States of America,SparkFun Transceiver Breakout - MAX3232,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-19T00:00-05:00,9,4,44,https://certification.oshwa.org/us001037.html
US000787,United States of America,SparkFun Transparent OLED HUD Breakout (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-07T00:00-05:00,2,1,18,https://certification.oshwa.org/us000787.html
US000811,United States of America,SparkFun Triad Spectroscopy Sensor - AS7265x (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-08T00:00-05:00,36,5,8,https://certification.oshwa.org/us000811.html
US001039,United States of America,SparkFun Triple Axis Accelerometer and Gyro Breakout - MPU-6050,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-19T00:00-05:00,35,19,53,https://certification.oshwa.org/us001039.html
US001052,United States of America,SparkFun Triple Axis Accelerometer Breakout - ADXL335,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-19T00:00-05:00,4,7,49,https://certification.oshwa.org/us001052.html
US000985,United States of America,SparkFun Triple Axis Accelerometer Breakout - ADXL337,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,2,2,46,https://certification.oshwa.org/us000985.html
US000042,United States of America,SparkFun Triple Axis Accelerometer Breakout - ADXL345,SparkFun Electronics,Electronics,Other,Other,CC BY-SA,2016-10-31T00:00-04:00,7,8,50,https://certification.oshwa.org/us000042.html
US002319,United States of America,SparkFun Triple Axis Accelerometer Breakout - BMA400 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-23T00:00-04:00,0,0,5,https://certification.oshwa.org/us002319.html
US000845,United States of America,SparkFun Triple Axis Accelerometer Breakout - H3LIS331DL,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-14T00:00-05:00,0,0,24,https://certification.oshwa.org/us000845.html
US002210,United States of America,SparkFun Triple Axis Accelerometer Breakout - KX132 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-19T00:00-04:00,0,0,4,https://certification.oshwa.org/us002210.html
US002211,United States of America,SparkFun Triple Axis Accelerometer Breakout - KX134 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-19T00:00-04:00,0,0,4,https://certification.oshwa.org/us002211.html
US000893,United States of America,SparkFun Triple Axis Accelerometer Breakout - LIS3DH,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,3,3,32,https://certification.oshwa.org/us000893.html
US002332,United States of America,SparkFun Triple Axis Accelerometer Breakout - LIS3DH (with Headers),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-25T00:00-04:00,3,3,32,https://certification.oshwa.org/us002332.html
US000992,United States of America,SparkFun Triple Axis Accelerometer Breakout - MMA8452Q,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,18,31,40,https://certification.oshwa.org/us000992.html
US000838,United States of America,SparkFun Triple Axis Accelerometer Breakout - MMA8452Q (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-14T00:00-05:00,1,0,21,https://certification.oshwa.org/us000838.html
US000901,United States of America,SparkFun Triple Axis Accelerometer Breakout - MMA8452Q (with Headers),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,18,31,40,https://certification.oshwa.org/us000901.html
US001055,United States of America,SparkFun Triple Axis Digital Accelerometer Breakout - ADXL313 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-19T00:00-05:00,2,0,4,https://certification.oshwa.org/us001055.html
US000834,United States of America,SparkFun Triple Axis Magnetometer Breakout - MLX90393 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-14T00:00-05:00,3,1,21,https://certification.oshwa.org/us000834.html
US001024,United States of America,SparkFun TRRS 3.5mm Jack Breakout,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-19T00:00-05:00,8,3,42,https://certification.oshwa.org/us001024.html
US000979,United States of America,"SparkFun TRS Jack Breakout - 1/4"" Stereo",SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,0,2,46,https://certification.oshwa.org/us000979.html
US000998,United States of America,SparkFun USB LiPoly Charger - Single Cell,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,15,4,47,https://certification.oshwa.org/us000998.html
US001047,United States of America,SparkFun USB MicroB Plug Breakout,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-19T00:00-05:00,4,2,43,https://certification.oshwa.org/us001047.html
US000972,United States of America,SparkFun USB to Serial Breakout - FT232RL,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,16,9,52,https://certification.oshwa.org/us000972.html
