oshwaUid,country,projectName,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
US002476,United States of America,"Adafruit 2.23"" Monochrome OLED Bonnet for Raspberry Pi",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,1,0,10,https://certification.oshwa.org/US002476
US002043,United States of America,Adafruit 24LC32 I2C EEPROM Breakout - 32Kbit / 4 KB - Stemma QT,Electronics,Other,MIT,CC BY-SA,2021-08-19T00:00-04:00,1,0,10,https://certification.oshwa.org/US002043
US002458,United States of America,Adafruit 9-DOF Accel/Mag/Gyro+Temp Breakout Board - LSM9DS0,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,3,0,10,https://certification.oshwa.org/US002458
US002463,United States of America,Adafruit 9-DOF IMU Breakout - L3GD20H + LSM303,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,6,4,10,https://certification.oshwa.org/US002463
US002523,United States of America,Adafruit AHT20 - Temperature & Humidity Sensor Breakout Board,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,2,3,10,https://certification.oshwa.org/US002523
US000456,United States of America,Adafruit ALS-PT19 Analog Light Sensor Breakout,Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,8,2,5,https://certification.oshwa.org/US000456
US002480,United States of America,Adafruit Animated Eyes Bonnet for Raspberry Pi Mini Kit,Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,8,3,7,https://certification.oshwa.org/US002480
US002483,United States of America,Adafruit Arcade Bonnet for Raspberry Pi with JST Connectors,Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,3,1,9,https://certification.oshwa.org/US002483
US002445,United States of America,Adafruit Bluefruit LE Micro - Bluetooth Low Energy + ATmega32u4,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,8,1,7,https://certification.oshwa.org/US002445
US002461,United States of America,Adafruit BMP183 SPI Barometric Pressure & Altitude Sensor,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,2,0,5,https://certification.oshwa.org/US002461
US002466,United States of America,Adafruit BrainCraft HAT - Machine Learning for Raspberry Pi 4,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,8,0,11,https://certification.oshwa.org/US002466
US002467,United States of America,Adafruit CharliePlex LED Matrix Bonnet - 8x16 Blue LEDs,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,3,0,8,https://certification.oshwa.org/US002467
US002067,United States of America,Adafruit CP2102N Friend,Electronics,Other,MIT,CC BY-SA,2022-01-14T00:00-05:00,9,2,10,https://certification.oshwa.org/US002067
US000472,United States of America,Adafruit CP2104 Friend - USB to Serial Converter,Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,11,7,7,https://certification.oshwa.org/US000472
US002477,United States of America,Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,3,2,10,https://certification.oshwa.org/US002477
